Month,Site,Quadrat,Image.Name,Coral.ID,Longest.cm,Bleaching
March,1,8,_MCR0320,L1Q08C11,NA,1
March,1,8,_MCR0320,L1Q08C12,NA,1
March,1,8,_MCR0320,L1Q08C13,NA,2
March,1,8,_MCR0320,L1Q08C14,NA,2
March,1,8,_MCR0320,L1Q08C15,NA,2
March,1,9,_MCR0322,L1Q09C01,NA,1
March,1,9,_MCR0322,L1Q09C02,NA,1
March,1,9,_MCR0322,L1Q09C05,NA,0
March,1,9,_MCR0322,L1Q09C06,NA,0
March,1,9,_MCR0322,L1Q09C07,NA,0
March,1,9,_MCR0322,L1Q09C08,NA,1
March,1,9,_MCR0322,L1Q09C09,NA,2
March,1,9,_MCR0322,L1Q09C10,NA,1
March,1,9,_MCR0322,L1Q09C11,NA,1
March,1,9,_MCR0322,L1Q09C12,NA,0
March,1,9,_MCR0322,L1Q09C14,NA,0
March,1,9,_MCR0322,L1Q09C16,NA,0
March,1,9,_MCR0322,L1Q09C18,NA,1
March,1,9,_MCR0322,L1Q09C19,NA,1
March,1,9,_MCR0322,L1Q09C20,NA,2
March,1,10,_MCR0323,L1Q10C01,NA,1
March,1,10,_MCR0323,L1Q10C02,NA,2
March,1,10,_MCR0323,L1Q10C03,NA,0
March,1,10,_MCR0323,L1Q10C04,NA,1
March,1,10,_MCR0323,L1Q10C05,NA,0
March,1,10,_MCR0323,L1Q10C06,NA,2
March,1,10,_MCR0323,L1Q10C07,NA,0
March,1,10,_MCR0323,L1Q10C10,NA,0
March,1,10,_MCR0323,L1Q10C11,NA,0
March,1,10,_MCR0323,L1Q10C12,NA,0
March,1,10,_MCR0323,L1Q10C15,NA,0
March,1,10,_MCR0323,L1Q10C16,NA,0
March,1,10,_MCR0323,L1Q10C17,NA,0
March,1,10,_MCR0323,L1Q10C18,NA,0
March,1,10,_MCR0323,L1Q10C19,NA,1
March,1,10,_MCR0323,L1Q10C20,NA,0
March,1,10,_MCR0323,L1Q10C21,NA,0
March,1,10,_MCR0323,L1Q10C22,NA,0
March,1,11,_MCR0324,L1Q11C01,NA,0
March,1,11,_MCR0324,L1Q11C02,NA,1
March,1,11,_MCR0324,L1Q11C03,NA,2
March,1,11,_MCR0324,L1Q11C04,NA,0
March,1,11,_MCR0324,L1Q11C05,NA,0
March,1,11,_MCR0324,L1Q11C06,NA,1
March,1,11,_MCR0324,L1Q11C07,NA,0
March,1,11,_MCR0324,L1Q11C08,NA,0
March,1,11,_MCR0324,L1Q11C18,NA,2
March,1,11,_MCR0324,L1Q11C19,NA,1
March,1,12,_MCR0325,L1Q12C01,NA,0
March,1,12,_MCR0325,L1Q12C02,NA,0
March,1,12,_MCR0325,L1Q12C03,NA,0
March,1,12,_MCR0325,L1Q12C04,NA,0
March,1,12,_MCR0325,L1Q12C05,NA,1
March,1,12,_MCR0325,L1Q12C06,NA,1
March,1,12,_MCR0325,L1Q12C07,NA,0
March,1,12,_MCR0325,L1Q12C09,NA,0
March,1,12,_MCR0325,L1Q12C10,NA,2
March,1,12,_MCR0325,L1Q12C11,NA,0
March,1,12,_MCR0325,L1Q12C12,NA,0
